id,moduleId,subtopicId,title,difficulty,timeLimit,xpReward,documentUrl,totalQuestionsToAsk
cmpqm5kgg000114l6b5r21daw,cmpplod0h0002h2qdk9xzhrp6,cmpplod0h0003h2qdpvzpv0yt,Common Problems with Usability,Easy,15,25,,
cmpqmdp7u000d14l6kj78bmhe,cmpplod0h0002h2qdk9xzhrp6,cmppr9ani0003smq6jvcfvdtu,Human Characteristics in Design,Easy,15,25,,
cmprxdjwi00012smna65wub0x,cmpplod0h0002h2qdk9xzhrp6,cmppr9ani0004smq6wyerk4zx,Human Considerations in Design,Medium,15,25,,
cmprxdkoz00032smnf4c6oagp,cmpplqlq40007h2qdsqpwwb6s,cmppr7rif0000smq67uy75lqr,"Navigation, Signposts and Wayfinding Patterns",Medium,15,25,,
cmprxdlhe00052smnhh5zozur,cmpplqlq40007h2qdsqpwwb6s,cmppr7rif0001smq6mnae7vzt,Layout of Page Element,Medium,15,25,,
cmprxdm8o00072smn75d2vpu3,cmpplqlq40007h2qdsqpwwb6s,cmppr7rif0002smq6z1c645n6,Arranging Content in Lists,Medium,15,25,,
cmprxdmwb00092smn8uuzqmk5,cmpprbkvb0006smq6prl6zpa3,cmpprbkvb0007smq6cy7rxiej,In-Page Editing,Medium,15,25,,
cmprxdnhv000b2smnvdgq64n6,cmpprbkvb0006smq6prl6zpa3,cmpprbkvb0008smq60cx9w7t2,Contextual Tools (Overlays and Inlays),Medium,15,25,,
cmprxdo2l000d2smn3q45s42f,cmpprbkvb0006smq6prl6zpa3,cmpprbkvc0009smq65mcsu5fd,Static and Dynamic Invitation & Transitions,Medium,15,25,,
cmprxdonc000f2smny0c7q73d,cmpprbkvb0006smq6prl6zpa3,cmpprbkvc000asmq6qrq20l4z,Lookup and Feedback Patterns,Medium,15,25,,
cmpxm4m430001eqmxpqe3d4pl,cmpprh73q000ismq69sctmnjk,cmpprh73q000jsmq6mpqhjr6j,Test quiz,Easy,14,24,https://docs.google.com/document/d/1oHsAWJyLuwqFul_RNEhq1o8md1ORseZi/edit?usp=drivesdk&ouid=107233786714895303178&rtpof=true&sd=true,5
cmpxst9yc0009s5wkjkuz0ltv,cmpplod0h0002h2qdk9xzhrp6,cmpplod0h0003h2qdpvzpv0yt,Test quiz,Easy,10,100,https://docs.google.com/document/d/1q09REsbtSjyYw1wH_YFQJTSbHGakK3Zi/edit?usp=drivesdk&ouid=107233786714895303178&rtpof=true&sd=true,5
